STATE,BROWN,BROWNE,BUCHANAN,BUSH,DODGE,GORE,HAGELIN,HARRIS,LANE,MCREYNOLDS,MOOREHEAD,NADER,PHILLIPS,SMITH,VENSON,YOUNGKEIT,EV
AL,,"5,893","6,351","941,173",,"692,611",447,,,,,"18,323",775,,,,9
AK,,"2,636","5,192","167,398",,"79,004",919,,,,,"28,747",596,,,,3
AZ,,,"12,373","781,652",,"685,341","1,120",,,,,"45,645",110,"5,775",,,11
AR,,"2,781","7,358","472,940",,"422,768","1,098",,,,,"13,421","1,415",,,,6
CA,,"45,520","44,987","4,567,429",,"5,861,203","10,934",,,28,,"418,707","17,042",,,,55
CO,,"12,799","10,465","883,748",208,"738,227","2,240",216,,712,,"91,434","1,319",,,,9
CT,,"3,484","4,731","561,094",,"816,015",40,4,,,,"64,452","9,695",,,,7
DE,,774,777,"137,288",,"180,068",107,,,,,"8,307",208,,,,3
DC,,669,,"18,073",,"171,923",,114,,,,"10,576",,,,,3
FL,,"16,415","17,484","2,912,790",,"2,912,253","2,281",562,,622,"1,804","97,488","1,371",,,,29
GA,,"36,332","10,926","1,419,720",,"1,116,230",,11,,,,"13,432",140,,,,16
HI,,"1,477","1,071","137,845",,"205,286",306,,,,,"21,623",343,,,,4
ID,,"3,488","7,615","336,937",,"138,637","1,177",,,,,"12,292","1,469",,,,4
IL,,"11,623","16,106","2,019,421",,"2,589,026","2,127",,,4,,"103,759",57,,,,20
IN,,"15,530","16,959","1,245,836",,"901,980",167,,,43,,"18,531",200,,,,11
IA,,"3,209","5,731","634,373",,"638,517","2,281",190,,107,,"29,374",613,,,,6
KS,,"4,525","7,370","622,332",,"399,276","1,375",,,,,"36,086","1,254",,,,6
KY,,"2,896","4,173","872,492",,"638,898","1,533",,,,,"23,192",923,,,,8
LA,,"2,951","14,356","927,871",,"792,344","1,075","1,103",,,,"20,473","5,483",,,,8
ME,,"3,074","4,443","286,616",,"319,951",,,,,,"37,127",579,,,,4
MD,,"5,310","4,248","813,797",,"1,145,782",176,,,,,"53,768",919,,,,10
MA,,"16,366","11,149","878,502",,"1,616,487","2,884",,,42,,"173,564",,,,,11
MI,,"16,711","1,851","1,953,139",,"2,170,418","2,426",,,,,"84,165","3,791",,,,16
MN,,"5,282","22,166","1,109,659",,"1,168,266","2,294","1,022",,,,"126,696","3,272",,,,10
MS,,"2,009","2,265","572,844",,"404,614",450,613,,,,"8,122","3,267",,,,6
MO,,"7,436","9,818","1,189,924",,"1,111,138","1,104",,,,,"38,515","1,957",,,,10
MT,,"1,718","5,697","240,178",,"137,126",675,,,,,"24,437","1,155",,,,3
NE,,"2,245","3,646","433,862",,"231,780",478,,,,,"24,540",468,,,,5
NV,,"3,311","4,747","301,575",,"279,978",415,,,,,"15,008",621,,,,6
NH,,"2,757","2,615","273,559",,"266,348",55,,,,,"22,198",328,,,,4
NJ,,"6,312","6,989","1,284,173",,"1,788,850","2,215",844,,"1,880",,"94,554","1,409",,,,14
NM,,"2,058","1,392","286,417",,"286,783",361,,,,,"21,251",343,,,,5
NY,,"7,649","31,599","2,403,374",,"4,107,697","24,361","1,789",,2,,"244,030","1,498",,,,29
NC,,"12,307","8,874","1,631,163",,"1,257,692",,,,"1,226",,,,,,,15
ND,,660,"7,288","174,852",,"95,284",313,,,,,"9,486",373,,,,3
OH,,"13,475","26,724","2,351,209",,"2,186,190","6,169",10,,,,"117,857","3,823",,,,18
OK,,"6,602","9,014","744,337",,"474,276",,,,,,,,,,,7
OR,,"7,447","7,063","713,577",,"720,342","2,574",,,,,"77,357","2,189",,,,7
PA,,"11,248","16,023","2,281,127",,"2,485,967",,,,,,"103,392","14,428",,,,20
RI,,742,"2,273","130,555",,"249,508",271,34,,52,199,"25,052",97,,,,4
SC,,"4,876","3,519","785,937",,"565,561",942,,,,,"20,200","1,682",,,,9
SD,,"1,662","3,322","190,700",,"118,804",,,,,,,"1,781",,,,3
TN,"1,606","4,284","4,250","1,061,949",,"981,720",613,,,,,"19,781","1,015",,535,,11
TX,,"23,160","12,394","3,799,639",,"2,433,746",,,,63,,"137,994",567,,,,38
UT,,"3,616","9,319","515,096",,"203,053",763,186,,,,"35,850","2,709",,,161,6
VT,,784,"2,192","119,775",,"149,022",219,70,"1,044",161,,"20,374",153,,,,3
VA,,"15,198","5,455","1,437,490",,"1,217,290",171,,,,,"59,398","1,809",,,,5
WA,,"13,135","7,171","1,108,864",,"1,247,652","2,927",304,,660,"1,729","103,002","1,989",,,,12
WV,,"1,912","3,169","336,475",,"295,497",367,,,,,"10,680",23,,,,5
WI,,"6,640","11,471","1,237,279",,"1,242,987",853,306,,,"1,063","94,070","2,042",,,,10
WY,,"1,443","2,724","147,947",,"60,481",411,,,,,"4,625",720,,,,3